codigo;descripcion;descripcion_en;clasificacion
QS 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Anatomía humana
QS 4;Obras generales;General works;Anatomía humana
QS 5;Obras recopiladas de varios autores;Collected works by several authors;Anatomía humana
QS 7;Obras recopiladas de autores individuales;Collected works by individual authors;Anatomía humana
QS 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Anatomía humana
QS 11;Historia;History;Anatomía humana
QS 11.1;Cobertura general;General coverage;Anatomía humana
QS 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Anatomía humana
QS 15;Clasificación. Terminología;Classification. Terminology;Anatomía humana
QS 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Anatomía humana
QS 16.1;Cobertura general;General coverage;Anatomía humana
QS 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Anatomía humana
QS 18;Educación;Education;Anatomía humana
QS 18.2;Materiales educativos;Educational materials;Anatomía humana
QS 19;Escuelas, departamentos y facultades de anatomía, histología o embriología;Schools, departments, and faculties of anatomy, histology, or embryology;Anatomía humana
QS 19.1;Cobertura general;General coverage;Anatomía humana
QS 20.5;Investigación (General);Research (General);Anatomía humana
QS 21;La anatomía como profesión. Ética. Revisión por pares.;Anatomy as a profession. Ethics. Peer review;Anatomía humana
QS 22;Directorios;Directories;Anatomía humana
QS 22.1;Cobertura general;General coverage;Anatomía humana
QS 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Anatomía humana
QS 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Anatomía humana
QS 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Anatomía humana
QS 26;Equipos y suministros;Equipment and supplies;Anatomía humana
QS 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Anatomía humana
QS 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Anatomía humana
QS 27.1;Cobertura general;General coverage;Anatomía humana
QS 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Anatomía humana
[QS 32];[Este número no se utiliza];[This number not used];Anatomía humana
QS 39;Manuales. Guías de recursos;Handbooks. Resource guides;Anatomía humana
